fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness,putout_time_num,region,cause_category,Vegetation_group,mid50_hi
NA,3,B,Missing/Undefined,32.94166667,-80.64166667,SC,3/21/1995,3/21/1995,Mar,NA,NA,0 days 00:00:00.000000000,2/19/1995,1995,Feb,722083,55534.989120000006,99999,1945,2020,12,0.1,722083-99999-1995.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12325400739151582,0,South,Other/Unknown,Shrubland,0
NA,3.2,B,Equipment Use,45.0422716,-89.03498935,WI,4/3/1995,4/3/1995,Apr,4/3/1995 14:57,4/3/1995 16:00,0 days 00:00:00.000000000,3/4/1995,1995,Mar,726626,13601.75266,99999,1992,2004,9,0.1,726626-99999-1995.gz,3.713043478,2.4625,1.84,0,5.752173912999999,7.3,9.32,0,66.91111111,79.75,78.2,0,0,0,0,0,0.19285820801564957,0,Midwest,Infrastructure,Tundra/Barren,0
TELEPHONE CANYON,18,C,Missing/Undefined,41.51085,-109.50637,WY,6/5/2012,6/8/2012,Jun,6/5/2012 14:00,6/8/2012 13:05,3 days 00:00:00.000000000,5/6/2012,2012,May,725744,38961.34897,24027,2006,2020,15,1,725744-24027-2012.gz,13.19906542,14.16378378,17.85178571,14.97260274,5.2711615489999994,6.388648648999999,4.9226190480000005,7.779452055,33.59279039,35.34864865,29.61904762,28,1,0,0,0,0.3884084306904412,3,West,Other/Unknown,Forest,1
FY2014-TOOMBS-030,13.65,C,Debris Burning,32.28853889,-82.40083333,GA,3/11/2014,3/11/2014,Mar,3/11/2014 13:52,3/11/2014 14:51,0 days 00:00:00.000000000,2/9/2014,2014,Feb,722134,10322.94318,99999,2006,2020,12,1,722134-63822-2014.gz,10.97154851,10.70697674,8.807539683,0,2.438199627,2.365860465,3.0273809519999997,0,70.45740836,71.45977011,76.53301887,0,0,0,0,0,0.13932981733509897,0,South,Debris Burning,Shrubland,1
RL278,20,C,Miscellaneous,47.8666,-94.9169,MN,4/9/2000,4/9/2000,Apr,4/9/2000 17:10,4/9/2000 19:00,0 days 00:00:00.000000000,3/10/2000,2000,Mar,727550,40778.03276,14958,1948,2020,15,1,727550-99999-2000.gz,-0.139007092,1.805633803,0.581818182,0,4.160795455,5.004225352,5.346060606,0,61.94460227,62.53802817,61.57575758,0,1,1,1,0,0.24657455788273364,0,Midwest,Other/Unknown,Forest,1
FY2015-LAURENS-107,4,B,Debris Burning,32.25136667,-82.91357222,GA,1/31/2015,1/31/2015,Jan,1/31/2015 19:41,1/31/2015 20:16,0 days 00:00:00.000000000,1/1/2015,2015,Jan,720962,20631.00865,99999,2011,2020,12,0.1,720962-00337-2015.gz,8.147935035,8.484572491,8.01547619,0,1.737633411,1.7823420069999998,2.370833333,0,60.78588808,60.89057751,62.28686327,0,0,0,0,0,0.1439278422115411,0,South,Debris Burning,Shrubland,0
FY2011-HARRIS-024,9.94,B,Debris Burning,32.78947346,-84.84721729,GA,2/23/2011,2/23/2011,Feb,2/23/2011 15:07,2/23/2011 16:16,0 days 00:00:00.000000000,1/24/2011,2011,Jan,722255,31604.49755,93842,1939,2020,12,0.1,722255-93842-2011.gz,9.430668127,11.39900498,16.46974359,0,2.7276013139999997,2.4452736319999997,2.281538462,0,68.88056206,60.87531172,66.01025641,0,1,1,0,0,0.16086745188668727,0,South,Debris Burning,Shrubland,1
HAMMER CREEK,26,C,Campfire,45.76867435,-116.3321016,ID,8/25/2012,8/25/2012,Aug,8/25/2012 2:00,8/25/2012 8:23,0 days 00:00:00.000000000,7/26/2012,2012,Jul,725784,70687.91257,4109,1973,2020,15,1,725784-04109-2012.gz,21.5948324,21.20505618,20.58231707,0,0.564106145,0.538764045,0.513414634,0,58.11033520000001,57.84269663,59.5,0,0,0,0,0,0.45508914943071166,0,West,Recreational,Forest,1
NA,10.66,C,Equipment Use,32.4929,-84.1167,GA,4/12/1993,4/12/1993,Apr,4/12/1993 14:18,4/12/1993 19:17,0 days 00:00:00.000000000,3/13/1993,1993,Mar,722170,48466.91158,3813,1942,2005,12,1,722170-03813-1993.gz,12.84916667,14.95166667,14.57678571,0,3.94,3.794722222,4.010119048,0,66.63687151,66.33798883,69.81927711,0,1,1,1,0,0.15451746952893575,0,South,Infrastructure,Shrubland,1
FY2001-DADE-041,3.4,B,Arson,34.9102,-85.4287,GA,3/24/2001,3/24/2001,Mar,3/24/2001 14:58,3/24/2001 14:58,0 days 00:00:00.000000000,2/22/2001,2001,Feb,723240,24996.0555,13882,2000,2003,16,0.1,723240-13882-2001.gz,9.76573499,9.725373134,8.141935484,0,3.2640625,3.456465517,4.412962963,0,66.86682243,65.30751174,67.18055556,0,1,1,1,0,0.16469406231477923,0,South,Arson,Forest,0
NA,15,C,Missing/Undefined,35.03680041,-95.269302389999993,OK,1/6/1994,1/6/1994,Jan,1/6/1994 5:30,1/6/1994 6:30,0 days 00:00:00.000000000,12/7/1993,1993,Dec,723566,49961.8792,93950,1947,2020,15,1,723566-93950-1993.gz,6.258175559,4.451293103,3.4173913039999997,0,3.567125645,3.974568966,3.645652174,0,65.55923345,58.00431034,55.13043478,0,0,0,0,0,0.2549867445675882,0,South,Other/Unknown,Forest,1
WABANA POWERLINE,2,B,Equipment Use,47.41333333,-94.49,MN,3/12/1998,3/12/1998,Mar,3/12/1998 12:18,3/12/1998 13:04,0 days 00:00:00.000000000,2/10/1998,1998,Feb,727550,34766.526,14958,1948,2020,15,0.1,727550-99999-1998.gz,-2.428571429,-4.907284768,-10.43478261,0,3.833282675,4.442715232,3.891304348,0,74.28658537,68.84333333,62.87681159,0,0,0,0,0,0.24267233397160548,0,Midwest,Infrastructure,Forest,0
FY2012-COWETA-020,5.2,B,Miscellaneous,33.42630321,-84.92522609999999,GA,4/26/2012,4/26/2012,Apr,4/26/2012 16:28,4/26/2012 17:43,0 days 00:00:00.000000000,3/27/2012,2012,Mar,722176,19072.86954,99999,2006,2020,16,0.1,722176-53884-2012.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1611297655602113,0,South,Other/Unknown,Forest,1
EIGHT MILE,2,B,Campfire,37.1575,-107.0202778,CO,9/20/2008,9/23/2008,Sep,9/20/2008 14:00,9/23/2008 10:00,3 days 00:00:00.000000000,8/21/2008,2008,Aug,722101,37884.06701,3039,2006,2020,0,0.1,722101-03039-2008.gz,8.664914586,7.032212885,6.604060914,6.0382165610000005,4.722141918999999,4.633613445,3.873857868,6.91910828,40.75965379,37.54297994,35.34010152,53.36305732,0,0,0,0,0.3660826818678131,3,West,Recreational,Tundra/Barren,0
NA,2,B,Missing/Undefined,43.285295,-95.7828301,IA,11/10/2009,11/10/2009,Nov,11/10/2009 14:00,NA,0 days 00:00:00.000000000,10/11/2009,2009,Oct,725495,8612.080942,99999,2006,2020,9,0.1,725495-04975-2009.gz,5.840699369,7.030181087000001,7.128514056,0,2.9831471589999996,3.256539235,2.9226907630000003,0,78.35688499,73.37843552,69.85336049,0,0,0,0,0,0.25584664670950996,0,Midwest,Other/Unknown,Tundra/Barren,0
BALL,3,B,Lightning,36.0602,-118.0965,CA,7/25/2003,7/27/2003,Jul,7/25/2003 15:00,7/27/2003 18:00,2 days 00:00:00.000000000,6/25/2003,2003,Jun,723826,49697.03342,93194,1974,2020,0,0.1,723826-99999-2003.gz,33.90123457,35.44444444,35.10714286,34.5,4.684710744,4.325,4.509090909,4.572222222,0,0,0,0,0,0,0,0,0.4769991839981995,2,West,Natural,Tundra/Barren,0
NA,1.5,B,Arson,31.4636,-81.3551,GA,7/3/1996,7/3/1996,Jul,7/3/1996 15:00,7/3/1996 15:43,0 days 00:00:00.000000000,6/3/1996,1996,Jun,722090,50659.003,99999,1945,2020,12,0.1,722090-99999-1996.gz,28.18606061,29.04465409,28.92278481,0,3.3301538460000004,3.630128205,4.0075949369999995,0,65.93290735,67.66013072,66.16883117,0,1,1,1,0,0.13063942406871742,0,South,Arson,Shrubland,0
NA,15,C,Arson,34.80025167,-89.65493016,MS,5/1/1996,5/1/1996,May,5/1/1996 15:10,5/1/1996 16:35,0 days 00:00:00.000000000,4/1/1996,1996,Apr,723340,41539.66408,13893,1942,2020,16,1,723340-13893-1996.gz,15.41722222,18.23555556,17.91666667,0,4.2986111110000005,4.3094444439999995,4.4226190480000005,0,59.85915493,62.5,55.44444444,0,1,1,1,0,0.20316151533763027,0,South,Arson,Forest,1
NA,4,B,Lightning,45.63666667,-106.0383333,MT,6/25/1994,6/26/1994,Jun,6/25/1994 13:37,6/26/1994 18:00,1 days 00:00:00.000000000,5/26/1994,1994,May,726673,54757.60337,99999,1979,2020,15,0.1,726673-99999-1994.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35311279111883476,1,West,Natural,Forest,0
NICHOLS,78,C,Arson,36.781859999999995,-96.004014,OK,12/27/2013,12/27/2013,Dec,12/27/2013 14:27,12/27/2013 16:30,0 days 00:00:00.000000000,11/27/2013,2013,Nov,723565,2493.625318,3959,2006,2020,0,1,723565-03959-2013.gz,0.269237833,0.34413407799999995,-2.034069401,0,2.04214876,2.018249534,1.700630915,0,77.41107185,80.88157895,88.90733591,0,1,1,1,0,0.26083622998727907,0,South,Arson,Tundra/Barren,1
MULTIPLE,3,B,Arson,33.2892,-110.4575,AZ,5/21/2006,5/21/2006,May,5/21/2006 14:42,5/21/2006 18:30,0 days 00:00:00.000000000,4/21/2006,2006,Apr,722747,90650.36802,93084,1942,2010,16,0.1,722747-93084-2006.gz,24.38005502,26.35081967,27.86300578,0,4.2039889960000005,4.290163934,4.902312139,0,16.61019284,17.05737705,20.53179191,0,1,1,1,0,0.4022346600857496,0,West,Arson,Forest,0
NA,1.5,B,Miscellaneous,40.86545041,-72.93647803,NY,7/29/2002,7/29/2002,Jul,7/29/2002 13:47,7/29/2002 13:47,0 days 00:00:00.000000000,6/29/2002,2002,Jun,725016,7460.983574,54790,1999,2005,15,0.1,725016-99999-2002.gz,23.37733142,22.69075145,21.46583851,0,3.194691535,2.969653179,3.164596273,0,68.69030391,74.06764706,77.09937888,0,1,1,1,0,0.05171792369335559,0,Northeast,Other/Unknown,Forest,0
NA,3,B,Debris Burning,34.301426,-79.426903,SC,3/30/2014,3/30/2014,Mar,3/30/2014 16:43,3/30/2014 17:53,0 days 00:00:00.000000000,2/28/2014,2014,Feb,720608,15815.43078,200,2009,2020,16,0.1,720608-00200-2014.gz,9.462435838,10.21448468,10.03777336,0,3.1781147919999997,2.811420613,2.676143141,0,65.43231899,68.19847328,67.94379391,0,0,0,0,0,0.11162139247551406,0,South,Debris Burning,Forest,0
DEADHORSE-COBB SADDLE,26.5,C,Lightning,44.93083,-120.06583,OR,8/25/2011,8/29/2011,Aug,NA,NA,4 days 00:00:00.000000000,7/26/2011,2011,Jul,999999,53296.80052,4125,2004,2019,15,1,999999-94060-2011.gz,19.94367257,19.12255674,18.95550595,21.85789931,2.515694444,2.541666667,2.333928571,2.463541667,0,0,0,0,0,0,0,0,0.4932229007066275,4,West,Natural,Forest,1
NOR-20140402-005,14,C,Miscellaneous,34.461467999999996,-86.799757,AL,4/2/2014,4/2/2014,Apr,NA,NA,0 days 00:00:00.000000000,3/3/2014,2014,Mar,722031,22012.23977,63839,1943,2020,16,1,722031-63839-2014.gz,9.14719888,10.01254682,11.1362173,0,2.399859944,2.6377340819999997,2.700603622,0,68.05744979,62.49297095,59.53118712,0,0,0,0,0,0.17736768658130939,0,South,Other/Unknown,Forest,1
BUCK LAKE,9.1,B,Campfire,29.1325,-81.62,FL,5/26/2015,5/26/2015,May,5/26/2015 7:00,5/26/2015 19:00,0 days 00:00:00.000000000,4/26/2015,2015,Apr,720904,33599.02603,299,2011,2020,12,0.1,720904-00299-2015.gz,23.9530451,25.38432836,26.05645161,0,2.731174278,2.619662921,2.93959596,0,72.50804829,74.23092170000001,73.06289308,0,0,0,0,0,0.13482643117748383,0,South,Recreational,Shrubland,1
HOLZERS,17.9,C,Children,48.0443,-118.3853,WA,5/21/2001,5/21/2001,May,5/21/2001 11:48,5/21/2001 18:27,0 days 00:00:00.000000000,4/21/2001,2001,Apr,727873,67583.72297999999,99999,1973,2005,15,1,727873-99999-2001.gz,12.35106383,14.43589744,12.16666667,0,2.196153846,3.0521739130000003,3.145454545,0,57.91025641,49.91304348,52.72727273,0,1,1,1,0,0.4754027581898195,0,West,Recreational,Forest,1
NA,2,B,Miscellaneous,33.70444133,-112.1760022,AZ,6/27/1993,6/27/1993,Jun,6/27/1993 12:00,NA,0 days 00:00:00.000000000,5/28/1993,1993,May,722784,8813.188390000001,99999,1973,2020,16,0.1,722784-99999-1993.gz,33.55462963,36.06473684,36.08518519,0,3.4798761610000004,3.669312169,3.462616822,0,14.22429907,13.1005291,13.672897199999998,0,0,0,0,0,0.4189918279188838,0,West,Other/Unknown,Forest,0
NA,4,B,Arson,33.310308,-87.777564,AL,4/16/2008,4/16/2008,Apr,4/16/2008 15:31,4/16/2008 16:59,0 days 00:00:00.000000000,3/17/2008,2008,Mar,722286,18587.75911,93806,1942,2020,16,0.1,722286-93806-2008.gz,16.58855886,17.43949045,17.02094241,0,3.472937294,3.234819533,3.713612565,0,66.75247525,70.84288747,62.62303665,0,1,1,1,0,0.1870058886348984,0,South,Arson,Forest,0
WLDFR-BOYE,40,C,Equipment Use,41.533,-96.0333,NE,8/1/2002,8/1/2002,Aug,8/1/2002 14:00,8/1/2002 17:00,0 days 00:00:00.000000000,7/2/2002,2002,Jul,725530,18486.63748,94918,1973,2005,15,1,725530-99999-2002.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2588358689611001,0,Midwest,Infrastructure,Forest,1
NA,1.74,B,Powerline,42.82194189,-73.35379719,NY,4/21/2005,4/21/2005,Apr,4/21/2005 13:23,4/21/2005 13:23,0 days 00:00:00.000000000,3/22/2005,2005,Mar,725075,20469.57235,54768,1942,2020,4,0.1,725075-99999-2005.gz,6.530284302,9.298050139,10.19047619,0,3.062917182,2.3041782730000002,2.1244047619999997,0,61.73507463,49.27323944,46.70238095,0,1,1,0,0,0.05454647006018254,0,Northeast,Infrastructure,Grassland,0
FRIEBORN,1.5,B,Lightning,33.731944399999996,-109.026667,NM,7/18/2010,7/21/2010,Jul,7/18/2010 14:00,7/21/2010 10:30,3 days 00:00:00.000000000,6/18/2010,2010,Jun,723754,93053.63568,93027,1973,2018,16,0.1,723754-93027-2010.gz,24.02811671,24.79572193,25.51436782,26.13095238,3.772413793,3.532352941,3.0471264369999997,4.513095238,28.45949535,33.35294118,40.27011494,46.64285714,1,1,1,1,0.38782817380839085,3,West,Natural,Forest,0
FY2014-BLECKLEY-006,10,C,Arson,32.51734167,-83.2437,GA,12/18/2013,12/18/2013,Dec,12/18/2013 14:29,12/18/2013 15:05,0 days 00:00:00.000000000,11/18/2013,2013,Nov,722217,24845.586880000003,99999,2006,2020,12,1,722217-63881-2013.gz,11.56821378,12.44159544,8.580912863,0,2.082512893,1.915194682,1.846058091,0,70.15806662,76.58732612,70.85279188,0,0,0,0,0,0.14668577639786884,0,South,Arson,Shrubland,1
NA,3.06,B,Children,33.71,-84.2811,GA,3/14/1994,3/14/1994,Mar,3/14/1994 3:00,3/14/1994 14:10,0 days 00:00:00.000000000,2/12/1994,1994,Feb,722270,31689.17826,99999,1941,1999,16,0.1,722270-13864-1994.gz,9.69099723,9.448476454,10.53571429,0,3.854155125,4.0457063710000005,3.4696428569999997,0,59.47965116,55.69971671,59.16071429,0,1,1,0,0,0.155152279072156,0,South,Recreational,Forest,0
CROOKED RD,2,B,Debris Burning,42.9758,-108.9493,WY,3/8/2006,3/8/2006,Mar,3/8/2006 13:30,3/8/2006 14:30,0 days 00:00:00.000000000,2/6/2006,2006,Feb,725760,25529.57031,24021,1973,2020,4,0.1,725760-24021-2006.gz,-4.752636719,1.062383178,3.5494949489999996,0,2.566113281,3.0901869160000004,3.756060606,0,58.96285435,50.18501171,43.13131313,0,1,1,1,0,0.3823820474380426,0,West,Debris Burning,Grassland,0
NA,1.89,B,Miscellaneous,44.4163,-74.0025,NY,8/28/2012,8/28/2012,Aug,8/28/2012 14:06,8/28/2012 17:51,0 days 00:00:00.000000000,7/29/2012,2012,Jul,726228,16163.26064,99999,1990,2020,15,0.1,726228-94740-2012.gz,16.03858268,14.14578313,14.64791667,0,1.435996488,1.133275563,1.180084746,0,78.65909091,78.88747346,75.03333333,0,1,1,0,0,0.05961140993281355,0,Northeast,Other/Unknown,Forest,0
NA,2,B,Arson,33.483334,-79.349998,SC,11/2/2012,11/2/2012,Nov,11/2/2012 14:55,11/2/2012 15:57,0 days 00:00:00.000000000,10/3/2012,2012,Oct,720613,43688.67615,204,2009,2020,16,0.1,720613-00204-2012.gz,16.65162542,15.49544073,14.90191388,0,1.436050461,1.732016211,2.959090909,0,66.92937123,64.49133858,68.04032258,0,0,0,0,0,0.11148639233721536,0,South,Arson,Forest,0
FY2012-FULTON SOUTH-002,6,B,Miscellaneous,33.55983163,-84.47725968,GA,11/2/2011,11/2/2011,Nov,11/2/2011 15:00,11/2/2011 16:19,0 days 00:00:00.000000000,10/3/2011,2011,Oct,722195,23272.08527,99999,2006,2020,16,0.1,722195-03888-2011.gz,14.91270023,12.08337182,11.12663317,0,2.241990847,1.793533487,1.4693467340000002,0,70.96440873,72.03488372,71.30612245,0,1,1,1,0,0.1570137205854405,0,South,Other/Unknown,Forest,1
NA,2.4,B,Arson,41.85472222,-77.70888889,PA,4/25/2003,4/25/2003,Apr,4/25/2003 15:09,4/25/2003 15:09,0 days 00:00:00.000000000,3/26/2003,2003,Mar,725157,36717.56923,54757,1973,2020,15,0.1,725157-99999-2003.gz,5.052132701000001,7.632047478,6.834355828,0,4.87614534,5.031750742,5.726993865,0,67.19410745,60.76595745,71.43037975,0,1,1,1,0,0.09264830411325133,0,Northeast,Arson,Forest,0
8.52014E+12,5,B,Campfire,31.55336502,-90.38181672,MS,11/27/2014,11/27/2014,Nov,11/27/2014 18:29,11/27/2014 19:53,0 days 00:00:00.000000000,10/28/2014,2014,Oct,720932,6381.095201,317,2011,2018,12,0.1,720932-00317-2014.gz,11.3474026,8.625231911,12.27435388,0,2.223886827,2.612801484,2.222266402,0,66.80668127,66.46703911,68.21428571,0,0,0,0,0,0.21206017345877615,0,South,Recreational,Shrubland,0
INDIAN CREEK,46.4,C,Arson,37.73305556,-91.075,MO,3/2/2012,3/2/2012,Mar,3/2/2012 12:54,3/2/2012 18:10,0 days 00:00:00.000000000,2/1/2012,2012,Feb,724454,57018.430120000005,99999,2005,2020,0,1,724454-93996-2012.gz,4.907527881,7.051948052,8.305555556,0,3.316968852,3.796750232,4.527777778,0,64.06889952,54.50473485,46.87698413,0,1,1,1,0,0.2145037092842483,0,Midwest,Arson,Tundra/Barren,1
WEST HUNGRYLAND (43),76,C,Lightning,27.0042,-80.3196,FL,7/8/2015,7/8/2015,Jul,7/8/2015 17:00,7/8/2015 20:37,0 days 00:00:00.000000000,6/8/2015,2015,Jun,722189,22272.07525,99999,2006,2020,12,1,722189-92815-2015.gz,25.88221884,25.90976331,25.728125,0,2.158599696,1.96735905,1.74984326,0,79.37366003,80.0044843,80.19242902,0,0,0,0,0,0.12515103070542466,0,South,Natural,Shrubland,1
NA,1.64,B,Miscellaneous,42.65472566,-77.7045713,NY,4/18/2009,4/18/2009,Apr,4/18/2009 19:04,4/18/2009 19:04,0 days 00:00:00.000000000,3/19/2009,2009,Mar,724988,9326.358546,99999,2006,2020,4,0.1,724988-94704-2009.gz,5.633256351,5.944893112000001,6.13452381,0,3.32852194,3.571971496,3.1684523810000003,0,61.11893764,58.4584323,49.16666667,0,1,1,0,0,0.09231383919581693,0,Northeast,Other/Unknown,Grassland,0
LUCKY2,30,C,Equipment Use,34.196999999999996,-103.532,NM,3/7/2011,3/7/2011,Mar,3/7/2011 13:46,3/7/2011 14:14,0 days 00:00:00.000000000,2/5/2011,2011,Feb,746380,25799.90163,99999,2005,2020,16,1,746380-99999-2011.gz,11.2238806,13.30769231,16.4,0,5.811940299,6.128205127999999,6.3875,0,28.17910448,23.03846154,22.725,0,0,0,0,0,0.3340096913726771,0,West,Infrastructure,Forest,1
NA,15,C,Arson,30.54395234,-88.4540867,MS,2/24/1999,2/24/1999,Feb,2/24/1999 13:31,2/24/1999 15:08,0 days 00:00:00.000000000,1/25/1999,1999,Jan,722230,25556.25772,13894,1990,2020,12,1,722230-13894-1999.gz,15.16744412,13.40283976,11.37323944,0,3.3572400389999997,3.50811359,3.5300469480000003,0,77.15352697,72.42241379,74.15243902,0,1,1,1,0,0.19518796747614384,0,South,Arson,Shrubland,1
BANNING LANE,5,B,Arson,35.34527778,-82.63527778,NC,5/19/2006,5/20/2006,May,5/19/2006 16:00,5/20/2006 16:00,1 days 00:00:00.000000000,4/19/2006,2006,Apr,723144,64542.53759,99999,1996,2020,15,0.1,723144-53890-2006.gz,16.81509795,15.95551257,15.2327044,16.75,1.394457716,1.503288201,1.526205451,2.81875,66.23065550000001,69.49512671,61.81341719,47.390625,0,0,0,0,0.1393861218551078,1,South,Arson,Forest,0
YATSATTIE,15,C,Debris Burning,34.8834,-109.034,NM,3/30/1996,3/30/1996,Mar,3/30/1996 16:42,3/30/1996 19:00,0 days 00:00:00.000000000,2/29/1996,1996,Feb,723754,51402.72902,93027,1973,2018,16,1,723754-99999-1996.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38715426846437073,0,West,Debris Burning,Forest,1
MARSHMELLO,3,B,Children,43.255,-100.8376,SD,5/5/2002,5/5/2002,May,5/5/2002 15:00,5/5/2002 17:00,0 days 00:00:00.000000000,4/5/2002,2002,Apr,726518,81363.85263,99999,1998,2020,9,0.1,726518-99999-2002.gz,8.912280702,6.94375,8.09047619,0,6.020350877,5.775,5.335714286,0,61.40078844,63.8175,64.56741573,0,1,1,1,0,0.30368027202306336,0,Midwest,Recreational,Tundra/Barren,0
